,t_min,D,x
0,0.0,0.705,0.0
1,0.5666666666666667,0.744,-0.00010954286918053518
2,10.0,0.65,0.0001544835334597288
3,20.0,0.641,0.00017976265711677536
4,30.0,0.575,0.0003651428972684503
5,40.0,0.51,0.0005477143459026752
6,50.0,0.47,0.0006600660066006601
7,60.0,0.403,0.0008482550382697844
