,t_min,D,x
0,0.0,0.777,0.0
1,0.3,0.693,0.00021407546160021426
2,2.0,0.682,0.00024210915300024204
3,4.0,0.613,0.00041795685360041803
4,6.0,0.509,0.000683002663200683
5,8.0,0.405,0.0009480484728009481
6,10.0,0.296,0.0012258368694012258
7,12.0,0.194,0.0014857856442014857
8,14.0,0.009,0.0019572613632019573
