,t_min,D,x
0,0.0,0.737,0.0
1,0.4166666666666667,0.754,-4.567620941198602e-05
2,5.0,0.664,0.0001961390168867632
3,10.0,0.58,0.0004218332280989294
4,15.0,0.485,0.000677082633636498
5,20.0,0.394,0.0009215846957830111
6,25.0,0.283,0.0012198234748848021
7,30.0,0.195,0.0014562650294880236
8,35.0,0.1,0.0017115144350255923
