,time,kappa,x,y
0,1.0,1.099,-0.0,44.668503
1,3.0,1.064,0.0003066138,45.70858
2,5.0,1.044,0.0004818217,46.336338
3,7.0,1.034,0.00056942564,46.66011
4,9.0,1.023,0.0006657904,47.02429
5,11.0,1.01,0.0007796757,47.466038
6,13.0,0.991,0.00094612327,48.135155
7,15.0,0.981,0.0010337273,48.499207
8,17.0,0.964,0.0011826543,49.138226
9,19.0,0.943,0.0013666225,49.96523
10,21.0,0.93,0.0014805079,50.49977
11,23.0,0.925,0.0015243097,50.710262
12,25.0,0.912,0.0016381951,51.270947
13,27.0,0.898,0.0017608408,51.897663
14,29.0,0.885,0.001874726,52.50244
15,31.0,0.871,0.001997372,53.180252
16,33.0,0.869,0.0020148924,53.279453
17,35.0,0.858,0.002111257,53.836227
18,37.0,0.847,0.0022076212,54.41283
19,39.0,0.838,0.002286465,54.900326
20,41.0,0.831,0.0023477878,55.28985
21,43.0,0.818,0.0024616728,56.038868
22,45.0,0.808,0.0025492767,56.639305
23,47.0,0.801,0.0026105999,57.073074
24,49.0,0.794,0.0026719226,57.518585
25,51.0,0.775,0.0028383706,58.79221
26,53.0,0.772,0.0028646514,59.00257
27,55.0,0.766,0.0029172143,59.431488
28,57.0,0.753,0.003031099,60.40056
29,59.0,0.746,0.0030924222,60.946682
30,61.0,0.742,0.0031274639,61.266953
31,63.0,0.74,0.0031449844,61.429413
32,65.0,0.729,0.003241349,62.352253
33,67.0,0.723,0.0032939112,62.877846
34,69.0,0.714,0.003372755,63.69834
35,71.0,0.716,0.003355234,63.512527
36,73.0,0.708,0.0034253171,64.26838
37,75.0,0.704,0.003460359,64.65938
38,77.0,0.7,0.0034954005,65.059616
39,79.0,0.693,0.0035567235,65.783615
40,81.0,0.681,0.0036618481,67.10137
41,83.0,0.681,0.0036618481,67.10137
42,85.0,0.675,0.0037144106,67.80057
43,87.0,0.669,0.0037669726,68.529625
44,89.0,0.667,0.003784494,68.779724
45,91.0,0.665,0.0038020145,69.03352
46,93.0,0.653,0.0039071394,70.640724
47,95.0,0.656,0.003880858,70.224594
48,97.0,0.649,0.0039421814,71.21172
49,99.0,0.645,0.003977223,71.802315
50,101.0,0.643,0.003994744,72.10538
51,103.0,0.64,0.004021025,72.570206
52,105.0,0.645,0.003977223,71.802315
53,107.0,0.638,0.0040385453,72.88719
54,109.0,0.636,0.0040560663,73.21012
55,111.0,0.631,0.0040998682,74.04486
56,113.0,0.638,0.0040385453,72.88719
57,115.0,0.626,0.00414367,74.92191
58,117.0,0.622,0.004178712,75.65701
59,119.0,0.618,0.0042137536,76.42464
60,121.0,0.61,0.0042838366,78.069756
61,123.0,0.609,0.004292597,78.28679
62,125.0,0.609,0.004292597,78.28679
63,127.0,0.608,0.0043013575,78.506546
64,129.0,0.598,0.004388962,80.87144
65,131.0,0.596,0.0044064824,81.38542
66,133.0,0.595,0.0044152425,81.648186
67,135.0,0.589,0.0044678054,83.31351
68,137.0,0.59,0.0044590454,83.02474
69,139.0,0.588,0.004476566,83.60714
70,141.0,0.582,0.004529128,85.48025
71,143.0,0.586,0.0044940864,84.20956
72,145.0,0.579,0.0045554093,86.49752
73,147.0,0.58,0.0045466493,86.15186
74,149.0,0.587,0.004485326,83.905754
75,151.0,0.582,0.004529128,85.48025
76,153.0,0.578,0.00456417,86.85013
77,155.0,0.574,0.0045992113,88.3358
78,157.0,0.574,0.0045992113,88.3358
79,159.0,0.572,0.0046167322,89.12847
80,161.0,0.569,0.0046430132,90.38863
81,163.0,0.564,0.004686815,92.71235
82,165.0,0.566,0.004669294,91.745834
83,167.0,0.563,0.0046955757,93.21619
84,169.0,0.564,0.004686815,92.71235
85,171.0,0.563,0.0046955757,93.21619
86,173.0,0.56,0.0047218567,94.8201
87,175.0,0.558,0.004739377,95.976364
88,177.0,0.556,0.0047568986,97.213585
89,179.0,0.553,0.00478318,99.2483
90,181.0,0.552,0.00479194,99.981964
91,183.0,0.551,0.0048007006,100.74736
92,185.0,0.551,0.0048007006,100.74736
93,187.0,0.548,0.004826982,103.26424
94,189.0,0.548,0.004826982,103.26424
95,191.0,0.551,0.0048007006,100.74736
96,193.0,0.548,0.004826982,103.26424
97,195.0,0.546,0.0048445025,105.16521
98,197.0,0.544,0.004862023,107.29433
99,199.0,0.546,0.0048445025,105.16521
100,201.0,0.541,0.0048883045,111.059364
101,203.0,0.543,0.004870784,108.46299
102,205.0,0.538,0.004914586,115.84147
103,207.0,0.54,0.0048970645,112.515045
104,209.0,0.541,0.0048883045,111.059364
105,211.0,0.535,0.0049408665,122.399414
106,213.0,0.538,0.004914586,115.84147
107,215.0,0.537,0.004923346,117.77097
108,217.0,0.537,0.004923346,117.77097
109,219.0,0.536,0.0049321065,119.935356
110,221.0,0.54,0.0048970645,112.515045
111,223.0,0.541,0.0048883045,111.059364
112,225.0,0.536,0.0049321065,119.935356
113,227.0,0.536,0.0049321065,119.935356
114,229.0,0.538,0.004914586,115.84147
115,231.0,0.539,0.0049058255,114.1007
116,233.0,0.543,0.004870784,108.46299
117,235.0,0.542,0.004879544,109.7138
118,237.0,0.538,0.004914586,115.84147
119,239.0,0.535,0.0049408665,122.399414
120,241.0,0.533,0.004958388,128.66896
121,243.0,0.54,0.0048970645,112.515045
122,245.0,0.534,0.0049496274,125.26003
123,247.0,0.542,0.004879544,109.7138
124,249.0,0.543,0.004870784,108.46299
125,251.0,0.545,0.0048532626,106.19785
126,253.0,0.545,0.0048532626,106.19785
127,255.0,0.546,0.0048445025,105.16521
128,257.0,0.549,0.004818221,102.38496
129,259.0,0.55,0.0048094606,101.54724
