,m,n,k1_nom,k1_std,k1_n_nom,k1_n_std
0,0.01,3.434488415009227e-07,0.00033644785436974354,5.2936620077690176e-06,979.6156332902922,15.413247529486268
1,0.02,6.868976830018454e-07,0.0005437630426494411,7.062419533724524e-06,791.6215997018879,10.281617930141644
2,0.03,1.0303465245027682e-06,0.0011006386896825178,6.103486309181987e-06,1068.2218685734606,5.923721936294636
