,time,V
1,60,7.4
2,90,8.4
3,120,9.4
4,150,10.8
5,180,11.8
6,210,12.4
7,240,13.4
8,270,14.4
9,300,15.0
10,330,15.8
11,360,16.6
12,390,17.2
13,420,17.8
14,450,18.4
15,480,19.2
16,510,19.8
17,540,20.4
18,570,21.0
19,600,21.6
20,660,22.6
21,720,23.6
22,780,24.6
23,840,25.6
