,time,V
2,90,5.6
3,120,6.0
4,150,6.8
5,180,7.2
6,210,8.0
7,240,8.4
8,270,9.0
9,300,9.6
10,330,10.2
11,360,10.6
12,390,11.0
13,420,11.4
14,450,11.8
15,480,12.2
16,510,12.6
17,540,13.0
18,570,13.6
19,600,14.0
20,660,14.6
21,720,15.2
22,780,16.0
23,840,16.6
