0,1	21,115
0,3	21,095
0,5	21,12
0,7	21,11
0,9	21,09
1,1	21,11
1,3	21,07
1,5	21,145
1,7	21,135
1,9	21,18
2,1	21,13
2,3	21,085
2,5	21,14
2,7	21,12
2,9	21,12
3,1	21,09
3,3	21,095
3,5	21,095
3,7	21,13
3,9	21,195
4,1	21,145
4,3	21,13
4,5	21,135
4,7	21,13
4,9	21,095
5,1	21,175
5,3	21,2
5,5	21,115
5,7	21,2
5,9	21,12
6,1	21,089
6,3	21,115
6,5	21,2
6,7	21,12
6,9	21,205
7,1	21,135
7,3	21,175
7,5	21,16
7,7	21,135
7,9	21,185
8,1	21,21
8,3	21,19
8,5	21,19
8,7	21,165
8,9	21,165
9,1	21,165
9,3	21,205
9,5	21,175
9,7	21,17
9,9	21,195
10,1	21,185
10,3	21,205
10,5	21,19
10,7	21,195
10,9	21,175
11,1	21,18
11,3	21,16
11,5	21,205
11,7	21,16
11,9	21,185
12,1	21,17
12,3	21,185
12,5	21,215
12,7	21,185
12,9	21,215
13,1	21,14
13,3	21,2
13,5	21,165
13,7	21,21
13,9	21,16
14,1	21,155
14,3	21,225
14,5	21,18
14,7	21,22
14,9	21,19
15,1	21,17
15,3	21,195
15,5	21,17
15,7	21,155
15,9	21,215
16,1	21,215
16,3	21,205
16,5	21,22
16,7	21,2
16,9	21,155
17,1	21,2
17,3	21,17
17,5	21,205
17,7	21,205
17,9	21,175
18,1	21,22
18,3	21,21
18,5	21,24
18,7	21,22
18,9	21,235
19,1	21,16
19,3	21,21
19,5	21,225
19,7	21,215
19,9	21,215
20,1	21,18
20,3	21,215
20,5	21,22
20,7	21,26
20,9	21,21
21,1	21,14
21,3	21,17
21,5	21,175
21,7	21,215
21,9	21,21
22,1	21,215
22,3	21,2
22,5	21,205
22,7	21,205
22,9	21,19
23,1	21,165
23,3	21,2
23,5	21,22
23,7	21,235
23,9	21,195
24,1	21,23
24,3	21,215
24,5	21,21
24,7	21,24
24,9	21,19
25,1	21,15
