t,D,T
-4.55,0,0
0,0.138,72.8
2,0.168,67.9
4,0.197,63.5
6,0.226,59.4
8,0.254,55.7
10,0.281,52.3
12,0.309,49.1
14,0.334,46.3
16,0.358,43.9
18,0.379,41.7
20,0.4,39.8
22,0.418,38.2
24,0.434,36.8
26,0.449,35.6
28,0.461,34.6
30,0.472,33.7
32,0.483,32.9
34,0.494,32.1
36,0.505,31.3
38,0.515,30.5
40,0.525,29.8
42,0.534,29.2
44,0.542,28.7
46,0.549,28.3
48,0.556,27.8
50,0.562,27.4
52,0.568,27.1
54,0.574,26.7
56,0.58,26.3
58,0.586,25.9
60,0.591,25.6
62,0.596,25.4
64,0.6,25.1
66,0.604,24.9
68,0.608,24.7
70,0.612,24.5
72,0.615,24.2
74,0.619,24.1
76,0.622,23.9
78,0.625,23.7
80,0.628,23.6
82,0.63,23.4
84,0.632,23.3
86,0.634,23.2
88,0.635,23.2
90,0.636,23.1
92,0.636,23.1
94,0.637,23.1
96,0.638,23
98,0.638,23
100,0.638,23
102,0.639,23
104,0.639,23
106,0.639,23
108,0.639,22.9
110,0.639,22.9
112,0.64,22.9
114,0.641,22.9
116,0.641,22.8
118,0.643,22.8
120,0.644,22.7
122,0.645,22.7
124,0.646,22.6
126,0.647,22.5
128,0.649,22.5
130,0.649,22.4
132,0.65,22.4
134,0.651,22.3
136,0.652,22.3
138,0.653,22.2
140,0.654,22.2
142,0.654,22.2
144,0.654,22.2
146,0.655,22.2
148,0.655,22.1
150,0.655,22.1
152,0.655,22.1
154,0.655,22.1
156,0.655,22.1
158,0.655,22.2
160,0.654,22.2
162,0.654,22.2
164,0.653,22.2
166,0.652,22.3
168,0.652,22.3
170,0.651,22.3
172,0.65,22.4
174,0.649,22.4
176,0.649,22.4
178,0.648,22.5
180,0.647,22.5
182,0.646,22.6
184,0.646,22.6
186,0.644,22.7
188,0.643,22.8
190,0.641,22.8
192,0.639,23
194,0.637,23.1
196,0.635,23.2
198,0.633,23.3
