t,D,T
-5.1,0,0
0,0.174,67
2,0.192,64.3
4,0.212,61.4
6,0.238,57.8
8,0.256,55.4
10,0.287,51.6
12,0.323,47.5
14,0.357,43.9
16,0.388,40.9
18,0.412,38.7
20,0.433,36.9
22,0.45,35.5
24,0.467,34.1
26,0.483,32.9
28,0.498,31.8
30,0.511,30.8
32,0.523,30
34,0.535,29.2
36,0.545,28.5
38,0.555,27.9
40,0.564,27.3
42,0.572,26.8
44,0.579,26.4
46,0.586,25.9
48,0.594,25.5
50,0.6,25.1
52,0.607,24.7
54,0.613,24.4
56,0.618,24.1
58,0.623,23.8
60,0.628,23.6
62,0.632,23.3
64,0.636,23.1
66,0.64,22.9
68,0.643,22.7
70,0.646,22.6
72,0.649,22.4
74,0.652,22.3
76,0.654,22.2
78,0.657,22
80,0.659,21.9
82,0.661,21.8
84,0.663,21.7
86,0.665,21.6
88,0.667,21.5
90,0.669,21.4
92,0.67,21.4
94,0.672,21.3
96,0.673,21.2
98,0.675,21.1
100,0.676,21.1
102,0.678,21
104,0.679,21
106,0.68,20.9
108,0.681,20.8
110,0.682,20.8
112,0.683,20.7
114,0.684,20.7
116,0.685,20.6
118,0.686,20.6
120,0.687,20.6
122,0.688,20.5
124,0.688,20.5
126,0.689,20.5
128,0.69,20.4
130,0.69,20.4
132,0.691,20.4
134,0.691,20.4
136,0.692,20.3
138,0.692,20.3
140,0.693,20.3
142,0.693,20.3
144,0.693,20.3
146,0.694,20.3
148,0.694,20.2
150,0.694,20.2
152,0.694,20.2
154,0.695,20.2
156,0.695,20.2
158,0.695,20.2
160,0.695,20.2
162,0.696,20.2
164,0.696,20.1
166,0.696,20.1
168,0.696,20.1
170,0.696,20.1
172,0.696,20.1
174,0.696,20.1
176,0.696,20.1
178,0.697,20.1
180,0.697,20.1
182,0.697,20.1
184,0.697,20.1
186,0.697,20.1
188,0.697,20.1
190,0.698,20.1
192,0.698,20.1
194,0.698,20.1
196,0.698,20.1
198,0.698,20.1
