t,D,T
-5.53,0,0
0,0.135,73.3
2,0.166,68.2
4,0.195,63.9
6,0.221,60.1
8,0.247,56.6
10,0.273,53.4
12,0.297,50.4
14,0.321,47.7
16,0.343,45.4
18,0.362,43.4
20,0.381,41.6
22,0.4,39.8
24,0.418,38.2
26,0.435,36.7
28,0.45,35.4
30,0.465,34.3
32,0.478,33.2
34,0.49,32.3
36,0.502,31.5
38,0.512,30.8
40,0.521,30.1
42,0.53,29.5
44,0.538,29
46,0.546,28.5
48,0.552,28
50,0.558,27.6
52,0.564,27.3
54,0.569,27
56,0.574,26.7
58,0.579,26.4
60,0.584,26.1
62,0.588,25.8
64,0.593,25.6
66,0.596,25.3
68,0.6,25.1
70,0.604,24.9
72,0.606,24.8
74,0.609,24.6
76,0.611,24.5
78,0.614,24.3
80,0.616,24.2
82,0.618,24.1
84,0.619,24
86,0.621,23.9
88,0.623,23.8
90,0.624,23.8
92,0.626,23.7
94,0.627,23.6
96,0.628,23.6
98,0.629,23.5
100,0.63,23.5
102,0.63,23.4
104,0.631,23.4
106,0.631,23.4
108,0.632,23.4
110,0.632,23.3
112,0.632,23.3
114,0.633,23.3
116,0.633,23.3
118,0.633,23.3
120,0.633,23.3
122,0.634,23.2
124,0.634,23.2
126,0.634,23.2
128,0.634,23.2
130,0.633,23.3
132,0.632,23.3
134,0.632,23.4
136,0.63,23.4
138,0.629,23.5
140,0.627,23.6
142,0.626,23.6
144,0.625,23.7
146,0.623,23.8
148,0.622,23.9
150,0.621,23.9
152,0.621,24
154,0.62,24
156,0.62,24
158,0.619,24
160,0.618,24.1
162,0.617,24.1
164,0.616,24.2
166,0.615,24.3
168,0.613,24.4
170,0.611,24.5
172,0.609,24.6
174,0.608,24.7
176,0.606,24.8
178,0.604,24.9
180,0.603,24.9
182,0.602,25
184,0.601,25.1
186,0.6,25.1
188,0.599,25.1
190,0.599,25.2
192,0.599,25.2
194,0.598,25.2
196,0.598,25.2
198,0.598,25.3
