time,V
30,3.4
60,4.8
90,5.6
120,6.0
150,6.8
180,7.2
210,8.0
240,8.4
270,9.0
300,9.6
330,10.2
360,10.6
390,11.0
420,11.4
450,11.8
480,12.2
510,12.6
540,13.0
570,13.6
600,14.0
660,14.6
720,15.2
780,16.0
840,16.6
900,17.2
